date,article_id,country_code,sold_units
2019-11-12,332,UKR,1
2019-10-05,3446,USA,2
2021-02-14,1923,USA,3
2021-04-25,3417,AUS,1
2020-11-30,4139,ITA,1
2021-06-29,332,USA,1
2021-06-19,1923,RUS,2
2021-04-08,1579,RUS,1
2020-12-05,1132,FRA,1
2020-02-09,5984,DEU,1
2021-08-20,3576,AUS,2
2021-02-05,1132,UKR,1
2021-06-06,1132,RUS,1
2020-03-02,362,USA,1
2021-06-06,4139,RUS,1
2021-01-09,332,USA,1
2020-05-02,3448,FRA,1
2021-06-17,5972,USA,1
2021-02-14,1579,RUS,1
2021-05-11,3417,GRC,1
2021-03-07,332,USA,1
2020-05-13,1516,DEU,1
2020-11-22,362,ESP,3
2019-08-16,1579,RUS,1
2020-09-12,332,USA,1
2021-02-13,5984,GBR,1
2021-05-26,1132,USA,5
2021-08-27,1516,USA,2
2020-11-11,1923,RUS,4
2020-01-05,5972,RUS,4
2020-01-26,362,CAN,1
2020-10-20,362,RUS,3
2021-01-06,409,DEU,2
2021-08-12,1923,POL,2
2020-04-15,2902,USA,1
2020-05-27,3446,USA,3
2020-09-09,3576,USA,1
2020-12-14,1579,RUS,2
2021-06-09,1132,AUS,1
2020-04-30,3576,USA,1
2020-11-19,1132,UKR,2
2020-12-13,362,ITA,2
2021-08-28,1132,USA,5
2020-11-12,362,USA,1
2020-06-23,1579,USA,1
2020-09-20,1516,ITA,1
2021-05-17,362,SWE,1
2020-07-10,409,USA,1
2020-05-08,1516,USA,1
2019-07-21,332,DEU,2
2019-11-23,3448,ITA,3
2020-06-07,1132,ROU,2
2021-05-17,1923,USA,3
2020-06-22,362,USA,1
2021-06-12,409,CAN,1
2020-09-01,3446,AUS,1
2021-01-25,1923,RUS,5
2020-12-01,332,DEU,3
2021-08-06,332,USA,2
2020-09-22,1516,UKR,1
2020-02-03,3446,BEL,1
2020-10-19,409,USA,1
2021-02-08,5972,BEL,1
2021-03-27,1132,ITA,1
2021-06-09,3448,CZE,22
2020-08-08,362,USA,2
2020-10-26,332,DEU,2
2020-10-24,332,USA,2
2021-05-31,4139,USA,1
2019-11-12,3446,USA,2
2020-11-03,362,USA,2
2020-11-26,332,USA,3
2020-03-06,3417,CZE,3
2019-12-01,332,USA,2
2021-02-20,332,USA,1
2021-07-04,3446,RUS,1
2020-05-22,3417,USA,2
2021-06-26,3417,RUS,1
2020-12-14,362,USA,2
2020-05-20,3446,FRA,1
2020-07-28,1132,ITA,2
2020-06-27,1516,USA,1
2020-10-25,362,RUS,1
2021-07-15,1516,DEU,2
2020-09-26,409,POL,1
2020-06-11,3417,GRC,1
2021-03-27,4139,USA,2
2021-01-28,4139,UKR,2
2020-05-07,2902,CAN,1
2020-06-20,1132,FRA,3
2021-02-23,1923,USA,1
2021-06-07,1132,RUS,1
2021-03-04,1923,POL,1
2021-08-09,4139,FRA,1
2021-07-21,1132,ESP,2
2020-11-10,2902,USA,2
2019-09-08,332,NLD,4
2021-08-24,1516,GRC,3
2019-12-20,1579,AUS,1
2021-04-20,409,RUS,1
2021-07-10,1516,RUS,4
2020-01-27,3446,USA,1
2020-12-09,332,POL,2
2021-08-06,3417,USA,2
2021-02-23,4139,DEU,3
2019-11-22,332,GBR,1
2021-02-16,4139,ITA,1
2021-06-26,1132,USA,1
2020-07-24,409,DEU,2
2019-11-15,332,USA,2
2020-02-14,1579,ROU,1
2020-02-12,3576,UKR,1
2020-11-02,3448,USA,1
2020-08-27,5984,GBR,1
2019-12-17,5984,RUS,1
2019-10-05,332,AUS,1
2019-09-25,5972,USA,1
2021-01-28,332,USA,1
2020-05-23,5984,USA,1
2020-07-02,332,UKR,1
2021-05-24,1923,ESP,1
2021-01-20,1516,RUS,1
2021-08-22,1516,UKR,10
2021-07-31,409,NLD,2
2021-01-12,1923,USA,13
2021-07-13,1516,USA,2
2020-10-15,2902,DEU,2
2021-05-17,362,GBR,1
2020-08-08,362,DEU,2
2019-10-24,5984,ITA,1
2021-01-09,409,ITA,4
2020-11-09,362,USA,1
2020-03-17,332,CAN,1
2020-04-14,1132,USA,1
2021-01-02,362,POL,2
2019-12-08,3448,UKR,1
2021-06-25,1516,RUS,3
2020-11-18,362,USA,2
2021-04-14,3576,SWE,4
2020-11-15,5972,ROU,1
2020-11-12,4139,DEU,2
2019-09-03,3446,USA,2
2020-12-29,5972,RUS,2
2021-01-07,3576,USA,1
2020-09-07,362,USA,1
2021-07-01,332,FRA,2
2021-08-27,2902,USA,1
2020-09-26,409,USA,1
2020-05-04,332,USA,1
2019-09-22,3446,USA,1
2021-06-05,5984,USA,2
2020-01-06,5972,RUS,1
2020-12-04,362,ESP,1
2020-07-02,2902,GBR,1
2021-08-01,332,USA,2
2019-09-17,5984,USA,2
2021-06-02,2902,ITA,4
2020-11-05,1923,RUS,11
2021-05-17,1923,ROU,3
2021-03-28,3576,USA,2
2021-06-27,362,ITA,4
2020-03-29,3448,DEU,2
2020-11-02,5972,GBR,1
2019-11-05,332,USA,1
2021-08-27,332,CAN,2
2020-04-04,5984,USA,1
2020-01-06,1579,UKR,1
2020-06-21,5984,PRT,1
2020-02-09,2902,ITA,1
2021-06-09,1132,ESP,2
2019-10-23,332,DEU,1
2020-12-27,3448,USA,1
2021-03-01,4139,CAN,2
2021-08-15,3576,CZE,1
2020-09-13,4139,CAN,1
2020-08-21,1132,USA,3
2021-05-17,1579,USA,3
2021-06-04,1132,USA,1
2020-03-21,362,CZE,2
2020-07-22,2902,CAN,1
2020-05-28,3576,USA,1
2019-12-05,332,DEU,4
2021-08-28,332,ESP,3
2021-05-17,3448,DEU,2
2021-02-24,332,UKR,1
2019-09-06,1516,DEU,1
2020-12-31,5984,BEL,2
2020-10-16,3576,UKR,1
2020-05-08,1579,FRA,1
2021-06-05,362,ITA,3
2020-08-16,362,UKR,1
2021-02-03,1132,ESP,1
2019-08-08,332,CAN,2
2021-03-11,1579,USA,1
2020-06-24,5984,USA,1
2021-05-20,5984,FRA,2
2021-06-10,3417,RUS,1
2020-09-28,1923,FRA,1
2020-06-27,362,POL,2
2020-12-26,1132,RUS,1
2021-04-08,1579,GBR,1
2020-11-01,5972,USA,1
2021-01-25,5984,UKR,1
2020-01-22,3448,RUS,1
2020-12-14,332,USA,3
2019-10-18,3417,GBR,3
2020-07-05,3576,DEU,1
2020-11-26,332,USA,3
2020-11-08,2902,USA,4
2020-11-24,362,RUS,2
2021-07-15,2902,USA,1
2021-05-24,4139,USA,1
2021-03-09,1923,FRA,2
2020-03-17,3448,CAN,1
2020-12-07,362,USA,2
2021-06-17,1923,USA,2
2020-01-19,5984,USA,1
2020-05-15,1132,USA,1
2020-01-26,362,USA,1
2021-03-04,4139,FRA,1
2021-07-28,1923,USA,3
2020-03-15,5984,RUS,1
2021-06-24,3446,USA,1
2020-10-12,5972,USA,2
2020-04-17,5972,FRA,1
2019-10-02,5984,CAN,1
2020-02-27,409,USA,1
2020-11-10,3448,DEU,8
2020-08-03,3446,POL,2
2019-10-02,3417,GBR,2
2021-07-06,1923,RUS,1
2020-05-10,1516,ESP,1
2020-10-09,1132,ITA,1
2021-08-18,362,UKR,1
2021-08-13,1579,UKR,1
2020-12-09,4139,NLD,1
2019-10-11,3446,CAN,5
2020-10-28,1579,RUS,1
2019-09-19,332,ITA,1
2019-11-02,3446,USA,1
2020-08-06,332,POL,1
2020-01-31,3448,USA,1
2021-03-25,1132,ITA,1
2021-02-23,4139,ROU,3
2020-12-21,362,GBR,1
2021-05-28,3446,ESP,1
2021-01-04,409,GBR,2
2020-07-17,362,CZE,2
2021-03-01,4139,FRA,2
2020-10-31,5972,DEU,2
2021-03-04,1923,USA,1
2021-08-28,1516,FRA,4
2021-06-06,4139,POL,1
2020-07-25,332,USA,3
2021-06-16,4139,BEL,1
2021-07-04,332,RUS,1
2020-12-31,332,USA,3
2020-03-06,5984,ESP,1
2021-06-13,332,SWE,1
2020-02-11,3576,GBR,1
2021-08-24,1132,BEL,2
2020-11-18,332,USA,1
2021-07-30,1132,USA,3
2020-08-11,332,RUS,2
2021-05-24,4139,AUS,1
2021-01-19,1923,NLD,8
2019-09-20,332,USA,6
2020-11-28,5972,FRA,5
2019-11-06,5972,ITA,1
2021-03-26,1923,GBR,1
2020-05-03,1132,GBR,3
2020-09-07,362,POL,2
2021-08-23,362,BEL,2
2019-10-29,1516,RUS,2
2021-02-10,332,USA,1
2021-06-29,332,UKR,1
2020-06-17,1516,RUS,1
2021-01-30,332,UKR,3
2020-08-21,1132,USA,3
2021-05-07,332,USA,1
2019-12-10,3417,USA,1
2021-04-24,3448,RUS,1
2020-05-19,3576,USA,1
2021-06-17,1923,FRA,2
2021-03-30,3576,AUS,1
2021-08-15,332,POL,5
2021-05-27,1132,USA,3
2020-07-17,1132,RUS,3
2020-09-21,332,RUS,1
2021-08-30,1579,PRT,1
2020-03-02,362,GRC,1
2020-09-21,332,RUS,2
2021-02-17,332,USA,1
2020-11-30,1132,ITA,2
2020-12-19,362,RUS,2
2021-03-16,5984,ITA,1
2020-03-03,3576,RUS,1
2021-08-22,5984,USA,1
2021-08-26,1516,USA,3
2020-04-09,3446,USA,1
2020-10-08,5972,GBR,1
2019-11-23,3448,FRA,3
2021-01-14,1579,GRC,1
2020-02-11,5984,CAN,1
2020-11-16,1923,USA,4
2021-02-27,1132,ROU,1
2020-03-26,1516,RUS,1
2019-09-27,409,USA,2
2020-01-15,3448,USA,1
2019-08-09,332,USA,1
2021-06-27,1923,USA,2
2021-07-31,3448,USA,unknown
2020-04-28,1579,ITA,1
2019-10-13,3576,ESP,1
2021-05-15,5984,USA,1
2021-07-22,1132,RUS,1
2019-08-06,3576,UKR,1
2021-07-03,1579,RUS,1
2020-05-29,3448,GBR,1
2020-12-31,5972,USA,1
2020-04-29,3448,USA,1
2020-11-26,1132,CZE,1
2020-02-10,3446,USA,1
2021-02-26,4139,RUS,2
2021-07-22,1516,FRA,2
2020-09-06,332,USA,1
2020-02-07,362,USA,1
2019-12-23,1579,CZE,1
2020-08-09,362,RUS,1
2019-11-04,332,DEU,3
2020-07-26,3448,POL,2
2021-08-15,2902,USA,1
2019-09-29,3446,USA,4
2020-03-23,3576,GBR,3
2019-11-12,332,RUS,2
2021-08-30,332,USA,2
2020-04-19,5984,ITA,1
2020-12-26,5972,ESP,4
2020-03-06,3446,GBR,2
2021-08-30,1132,USA,3
2021-05-17,1516,USA,3
2021-04-05,1923,GBR,4
2020-12-30,1923,POL,3
2020-03-24,1132,UKR,1
2019-11-29,332,DEU,2
2020-10-17,332,USA,1
2020-07-06,3448,GBR,1
2021-08-27,3448,NLD,3
2021-01-19,4139,UKR,3
2020-08-01,3576,FRA,1
2020-03-06,5984,GBR,1
2020-01-19,5984,USA,1
2020-11-26,5972,RUS,3
2020-11-12,1132,FRA,2
2019-10-05,332,USA,4
2021-03-01,2902,USA,1
2021-06-05,362,CAN,3
2021-06-29,3576,USA,4
2020-11-07,1132,USA,1
2020-07-29,1579,ESP,2
2020-01-17,362,USA,1
2020-03-25,362,POL,3
2020-11-22,332,CZE,2
2019-10-26,5984,DEU,1
2021-03-05,332,USA,1
2020-10-23,5972,GBR,1
2021-08-22,3417,RUS,1
2020-09-07,1579,FRA,1
2020-01-19,3576,SWE,1
2021-02-14,2902,FRA,1
2021-07-22,4139,USA,1
2020-10-26,332,USA,1
2020-02-05,3448,POL,1
2021-02-10,5972,DEU,1
2020-06-09,409,USA,1
2020-03-31,3576,RUS,2
2020-07-09,1132,ITA,1
2021-05-12,1923,ITA,1
2021-02-02,3448,USA,1
2020-01-10,5984,USA,2
2020-02-01,2902,ITA,1
2019-08-07,1579,DEU,1
2020-11-24,332,USA,2
2019-12-31,3448,CAN,4
2020-09-07,362,ESP,2
2021-03-22,1923,GBR,2
2021-05-31,362,PRT,1
2021-01-09,1923,PRT,1
2021-05-24,4139,RUS,1
2021-08-11,1579,USA,1
2020-06-04,1132,DEU,3
2021-08-18,1132,FRA,7
2019-12-11,5972,AUS,2
2019-09-08,5984,FRA,1
2020-08-27,5984,RUS,1
2021-01-01,4139,UKR,2
2020-12-26,362,FRA,1
2020-09-07,1579,POL,1
2019-10-16,332,USA,1
2021-08-02,2902,AUS,1
2021-08-28,1132,DEU,1
2019-08-29,5984,USA,2
2020-05-21,1579,USA,1
2020-11-25,332,AUS,2
2021-03-29,362,FRA,2
2021-08-24,4139,RUS,3
2021-02-09,1923,ITA,2
2020-07-30,1579,ESP,1
2020-03-02,3417,FRA,1
2021-08-02,4139,NLD,1
2019-12-24,332,AUS,2
2020-03-31,2902,FRA,2
2019-11-01,332,RUS,1
2020-02-15,5984,ITA,1
2020-03-25,362,USA,3
2019-08-30,3446,USA,1
2021-05-27,1132,USA,2
2021-04-15,409,ITA,1
2021-08-11,3446,DEU,1
2021-08-31,1516,DEU,6
2020-01-12,2902,UKR,2
2020-07-13,3446,POL,1
2021-02-07,332,FRA,1
2020-09-02,4139,ITA,1
2021-06-24,1132,USA,2
2020-04-17,3448,POL,1
2020-12-20,332,ESP,1
2021-02-28,3446,GBR,1
2020-04-17,1516,GRC,1
2021-07-16,3576,FRA,2
2021-01-19,362,USA,1
2019-12-23,1579,CAN,1
2020-12-26,1579,RUS,2
2020-10-27,3448,GBR,7
2019-07-21,332,USA,2
2019-08-18,5984,USA,2
2021-01-21,1923,USA,3
2020-09-21,3417,USA,2
2020-11-04,1132,GRC,10
2020-06-23,3576,USA,1
2021-03-23,3446,RUS,2
2019-11-25,332,CAN,1
2019-09-30,332,GRC,6
2020-12-01,409,BEL,1
2021-05-11,1923,GBR,8
2020-09-13,3417,USA,1
2021-06-14,3576,DEU,1
2020-11-04,332,FRA,1
2020-04-30,1579,USA,1
2021-02-16,3576,GBR,1
2021-08-10,332,NLD,1
2019-08-15,1516,USA,1
2021-08-20,1579,DEU,3
2020-02-02,1579,USA,1
2021-07-01,332,USA,1
